||Annual Finance Standalone|Annual Finance Standalone|Annual Finance Standalone|Annual Finance Standalone|Annual Finance Standalone|Annual Finance Standalone|Annual Finance Standalone|Annual Finance Standalone|Annual Finance Standalone|Annual Finance Standalone|Annual Finance Standalone|Annual Finance Standalone|Annual Finance Standalone|Annual Finance Standalone|Annual Finance Standalone|Annual Finance Standalone|Annual Finance Standalone|Annual Finance Standalone|Annual Finance Standalone|Annual Finance Standalone|Annual Finance Standalone|Annual Finance Standalone|Quarterly Interim Standalone|Quarterly Interim Standalone|Quarterly Interim Standalone|Quarterly Interim Standalone|Quarterly Interim Standalone|Quarterly Interim Standalone|Quarterly Interim Standalone|Quarterly Interim Standalone|Quarterly Interim Standalone|Quarterly Interim Standalone|Quarterly Interim Standalone|Quarterly Interim Standalone|Quarterly Interim Standalone|Quarterly Interim Standalone|Quarterly Interim Standalone|Quarterly Interim Standalone|Quarterly Interim Standalone|Quarterly Interim Standalone|Quarterly Interim Standalone|Quarterly Interim Standalone|Quarterly Interim Standalone|Quarterly Interim Standalone|Quarterly Interim Standalone|Quarterly Interim Standalone|Quarterly Interim Standalone|Quarterly Interim Standalone|Quarterly Interim Standalone|Quarterly Interim Standalone|Quarterly Interim Standalone|Quarterly Interim Standalone|Quarterly Interim Standalone|Quarterly Interim Standalone|Quarterly Interim Standalone|Quarterly Interim Standalone|Quarterly Interim Standalone|Quarterly Interim Standalone|Quarterly Interim Standalone|Quarterly Interim Standalone|Quarterly Interim Standalone|Quarterly Interim Standalone|Quarterly Interim Standalone|Quarterly Interim Standalone|Quarterly Interim Standalone|Quarterly Interim Standalone|Quarterly Interim Standalone|Quarterly Interim Standalone|Quarterly Interim Standalone|Quarterly Interim Standalone|Quarterly Interim Standalone|Quarterly Interim Standalone|Quarterly Interim Standalone|Quarterly Interim Standalone|Quarterly Interim Standalone|Quarterly Interim Standalone|Quarterly Interim Standalone|Quarterly Interim Standalone|Quarterly Interim Standalone|Quarterly Interim Standalone|Quarterly Interim Standalone|Quarterly Interim Standalone|Quarterly Interim Standalone|Quarterly Interim Standalone|Quarterly Interim Standalone|Quarterly Interim Standalone|Quarterly Interim Standalone|Quarterly Interim Standalone|Quarterly Interim Standalone|Quarterly Interim Standalone|Quarterly Interim Standalone|Quarterly Interim Standalone|Quarterly Interim Standalone|Quarterly Interim Standalone|Quarterly Interim Standalone|Quarterly Interim Standalone|Quarterly Interim Standalone|Quarterly Interim Standalone|Quarterly Interim Standalone|Quarterly Interim Standalone|Quarterly Interim Standalone|Quarterly Interim Standalone|Quarterly Interim Standalone|Quarterly Interim Standalone|Quarterly Interim Standalone|Quarterly Interim Standalone|Quarterly Interim Standalone|Quarterly Interim Standalone|Quarterly Interim Standalone|Quarterly Interim Standalone|Quarterly Interim Standalone|Quarterly Interim Standalone|Quarterly Interim Standalone|Quarterly Interim Standalone|Quarterly Interim Standalone|Quarterly Interim Standalone|Quarterly Interim Standalone|Quarterly Interim Standalone|Quarterly Interim Standalone|Quarterly Interim Standalone|Quarterly Interim Standalone|Quarterly Interim Standalone|Quarterly Interim Standalone|Quarterly Interim Standalone|Quarterly Interim Standalone|Quarterly Interim Standalone|Quarterly Interim Standalone
Reliance Industries Ltd.|19209|2459531.60|2512493.80|2036266.80|1913389.00|286.80|292.80|2383067.60|227938.30|1377.10||1532598.90|544638.70|2621610.00|2451180.00||580.00|2609390.55|364610.00|3143.30||1427070.00|496230.00|246290.00|245420.00|0.00|211640.00|0.00|245660.00|245220.00|0.00|226460.00|0.00|301810.00|300560.00|0.00|281760.00|0.00|283150.00|281950.00|0.00|241980.00|0.00|275730.00|274480.00|0.00|246790.00|0.00|297210.00|295240.00|0.00|252130.00|0.00|322110.00|320430.00|0.00|292940.00|0.00|395640.00|345900.00|47330.00|350050.00|41970.00|375750.00|372860.00|0.00|324310.00|0.00|418050.00|415790.00|0.00|403020.00|0.00|448390.00|446880.00|0.00|423060.00|0.00|302270.00|295640.00|0.00|228310.00|0.00|274300.00|260820.00|3280.00|236460.00|3700.00|318960.00|311870.00|0.00|313860.00|0.00|474760.00|468480.00|0.00|464280.00|0.00|573640.00|568560.00|0.00|515680.00|0.00|581850.00|575700.00|0.00|532510.00|0.00|589500.00|582280.00|0.00|557050.00|0.00|581510.00|574790.00|0.00|535620.00|0.00|605300.00|597890.00|0.00|559710.00|0.00|735910.00|726740.00|0.00|689410.00|0.00
Reliance Infrastructure Ltd.|34|255664.90|269624.10|109381.70|98792.40|58.30|10.40|257016.60|6104.40|4.50||34771.40|85.30|104377.10|93998.60|11.80|27.80|311907.95|16130.60|42.40||62059.70|24171.60|11971.80|10109.10|0.00|10277.10|805.50|12945.30|11174.10|0.00|11179.20|0.00|15522.00|13701.30|0.00|13658.10|0.00|17882.70|14955.30|0.00|15872.40|15.00|19128.00|15847.30|526.50|16753.80|0.00|19486.30|15887.10|0.00|17270.70|0.00|17401.70|15293.80|38.00|14900.90|0.00|18535.50|14984.30|895.00|15519.50|0.00|17884.20|17003.20|0.00|14770.30|0.00|23925.90|22532.50|290.80|21400.50|0.00|26332.60|24316.30|0.00|23442.90|0.00|28224.00|26788.20|0.00|25712.10|34.10|26052.80|23519.50|-290.80|22591.00|-34.10|26482.60|24040.80|0.00|23316.90|0.00|27729.40|26096.60|0.00|24660.40|0.00|24644.10|22488.30|0.00|21872.80|0.00|27773.70|26105.50|0.00|25262.80|0.00|23929.80|21890.00|235.50|21467.30|0.00|24051.70|24051.70|0.00|22346.80|0.00|26870.70|25850.00|0.00|25213.50|0.00|26923.80|23217.60|911.90|21939.10|0.00
Reliance Mediaworks Ltd.|59142|19600.90|24350.20|5422.70|6465.70||4.10|21975.55|1004.30||158.40|8482.60|18.40|5965.70|8527.30|270.10||23898.90|-254.80||141.60|8626.60|41.80|386.20|343.30|0.00|304.70|0.00|214.30|203.20|0.00|160.20|0.00|595.90|500.80|0.00|395.90|0.00|988.80|769.10|0.00|759.80|0.00|963.00|861.10|0.00|837.10|305.10|732.40|510.40|21.60|529.80|0.00|1592.00|1264.20|11.70|1390.60|0.00|1127.00|846.20|0.00|920.80|0.00|578.10|593.10|43.40|525.10|0.00|2095.00|1851.90|0.00|2087.10|0.00|2107.60|2004.10|0.00|2268.00|0.00|1831.90|1603.20|0.00|2225.40|0.00|1022.00|935.20|8.50|1437.90|0.00|528.30|509.30|0.00|1188.40|0.00|1251.90|1111.20|0.00|1324.80|0.00|1447.40|1437.30|0.00|1609.00|0.00|1642.70|1605.50|7.80|1799.60|0.00|1351.00|1294.30|0.00|1669.70|0.00|1499.80|1484.80|0.00|1922.10|0.00|1659.60|1592.50|0.00|2169.00|0.00|918.40|877.50|0.00|2242.90|0.00
Reliance Power Ltd.|35103|138521.60|141324.20|3880.70|1148.40||0.10|139922.90|-1109.60||2.60|787.50|2.40|4924.40|2178.90||0.60|158669.10|-2524.30||6.50|852.30|2.60||||||||||||||||||||||||||||||||||||||||||||||776.80||0.00|179.70|0.00|640.70||0.00|168.60|0.00|1275.60||0.00|204.90|0.00|654.10||0.00|305.00|0.00|1442.50||0.00|386.10|0.00|1012.00|59.00|0.00|306.70|0.00|890.10|13.30|0.00|278.80|0.00|535.50|12.60|0.00|176.20|0.00|2120.60|13.00|0.00|635.10|0.00|574.20|13.30|0.00|290.30|0.00|1010.90|117.80|0.00|662.00|0.00|1605.80|219.30|596.60|978.60|0.00
Rolta India Ltd.|62013|28604.40|33931.20|11998.70|8328.00|3.30|127.90|31267.80|5396.10|650.30|43.80|15979.10|1922.90|16032.40|11078.80||382.90|36947.35|7616.00|815.90|54.10|20056.50|1136.10|1184.50|1178.50|0.00|808.30|0.00|1434.50|1386.20|0.00|1050.90|0.00|1336.70|1311.90|0.00|916.50|0.00|1467.30|1447.10|0.00|1037.10|0.00|1530.30|1523.80|0.00|1098.20|0.00|1742.30|1708.50|0.00|1287.40|0.00|2036.40|1933.50|0.00|1409.90|0.00|2222.20|2122.90|0.00|1547.50|0.00|2360.30|2258.30|0.00|1558.40|0.00|2194.50|2194.50|0.00|1680.20|0.00|2660.40|2515.20|0.00|2189.50|613.50|2349.00|2247.70|0.00|1713.20|0.00|3376.20|2446.80|0.00|1750.20|0.00|2618.00|2257.20|0.00|1517.90|0.00|2556.90|2463.80|0.00|1771.60|0.00|2943.80|2849.70|0.00|2097.60|0.00|3077.60|3034.40|0.00|2034.50|0.00|3420.40|3356.50|0.00|2424.20|0.00|3345.00|3294.80|0.00|2340.00|0.00|4796.80|3550.60|0.00|2847.30|0.00|3828.10|3707.50|0.00|2819.70|0.00
Ruchi Soya Inds. Ltd.|10402|60662.60|75252.80|137488.90|136144.10|64.30|2.70|67922.45|1864.70||105.40|19605.20|26.70|167916.70|170230.60||6.60|85590.25|-6018.30||185.50|21033.80|27.70|19594.20|19582.70|0.00|19116.50|0.00|11298.70|11272.90|0.00|11858.40|0.00|15597.60|15553.90|0.00|13514.30|0.00|28539.50|28533.60|0.00|31714.10|0.00|27436.20|27401.20|0.00|26396.90|8.30|23386.40|23333.60|0.00|23252.20|0.00|19931.00|19892.00|0.00|20364.80|0.00|31971.10|31966.30|0.00|33809.90|0.00|34916.40|34806.40|0.00|33955.90|0.00|28005.90|27964.80|0.00|27842.20|0.00|25665.70|25649.30|0.00|25872.50|0.00|30270.90|30123.00|6.20|27874.20|0.00|37657.20|37628.40|0.00|37452.70|0.00|31121.10|31095.10|0.00|31110.20|0.00|31952.50|31909.10|0.00|30882.20|0.00|38273.00|38001.20|0.00|40564.10|0.00|33592.30|33466.20|37.60|31045.70|0.00|34690.50|34577.10|0.00|32822.60|0.00|38079.80|38063.20|0.00|39458.90|0.00|46441.60|46226.10|0.00|49716.00|0.00|48391.20|48144.80|0.00|48035.80|0.00
Rural Electrification Corpn. Ltd.|64920|559677.50|713192.90|70914.90|47643.10|0.30|0.20|636435.20|-127752.50|||671.00|39.40|85031.10|59331.80|0.10|0.20|802681.25|-129013.50|||652.50|30.80|5752.20|5159.00|0.00|4657.90|0.00|6048.30|5736.50|0.00|4473.50|0.00|6990.50|6182.90|0.00|5686.00|0.00|7002.90|6648.70|0.00|5220.60|141.50|8497.20|7865.80|0.00|6854.30|0.00|7965.20|7350.20|0.00|6244.50|0.00|8764.30|8262.60|40.80|6492.20|0.00|8686.10|8420.30|0.00|6436.30|0.00|10001.80|9749.10|0.00|7650.80|0.00|10227.80|9958.40|0.00|7502.20|0.00|11735.80|11180.20|0.00|8647.90|0.00|12899.80|12465.10|145.60|9713.30|0.00|14471.20|13981.50|0.30|10590.80|0.00|15349.00|14608.70|260.00|10630.80|0.00|16353.90|15836.10|124.40|11410.30|0.00|17061.80|16716.90|0.00|12321.10|0.00|18794.80|18335.90|99.10|13183.10|0.30|19287.70|18995.90|0.00|13414.10|0.00|20826.30|20266.60|0.00|14644.20|346.70|21780.40|21423.30|0.00|15139.50|36.40|23063.30|21883.30||16060.70|
S Kumars Nationwide Ltd.|13919|31423.70|38720.30|21599.20|21475.00|0.10|46.50|34964.45|409.50|||6514.00|0.70|27617.80|27071.70||2.30|42613.70|-1258.50|||7641.90|2.70|2642.30|2478.90|145.50|2546.00|47.10|2665.00|2653.40|0.00|2615.00|27.20|2791.20|2782.50|0.00|2560.10|27.90|3148.60|3142.90|0.00|2958.90|27.90|3789.60|3716.60|0.00|4103.20|182.70|3793.60|3788.50|0.00|3403.00|25.60|3933.80|3911.00|0.00|3539.60|25.70|4546.40|4530.70|0.00|3982.30|25.60|3880.70|3827.00|0.00|2806.30|-75.90|3839.10|3836.20|0.00|3605.90|23.20|3946.90|3942.80|0.00|3798.30|0.00|3823.50|3815.70|0.00|3772.30|0.00|4504.60|3941.40|578.00|5032.10|-23.20|4688.80|4688.80|0.00|4810.70|0.00|4816.70|4816.70|0.00|4539.40|0.00|5797.60|5797.60|0.00|5672.70|0.00|6292.60|6292.60|0.00|6448.60|0.00|5905.90|5905.90|0.00|5866.30|0.00|6273.30|6273.30|0.00|6351.10|0.00|6934.30|6934.30|0.00|6937.50|0.00|8536.20|8498.30|37.90|7948.70|0.00
S R E I Infrastructure Finance Ltd.|64920|21056.60|44821.30|4701.30|3586.40|||32938.95|-19752.70||10.60|831.10|1.80|7598.40|6255.40|||63118.00|-8599.30||34.80|3925.60|6.20|773.20|769.10|1.70|613.80|0.00|857.30|856.30|0.00|707.10|0.00|957.00|954.30|0.00|808.90|0.00|939.30|934.90|0.00|760.10|0.00|1252.40|1234.40|5.30|937.40|12.00|1216.60|1213.50|0.00|983.80|0.00|1507.20|1492.60|0.00|1211.30|0.00|1756.00|1749.80|0.00|1472.40|0.40|811.90|153.40|16.60|544.60|3.10|1027.20|1015.70|0.00|705.30|0.00|1102.10|1099.20|0.00|939.50|0.00|555.60|405.60|0.00|532.10|0.00|975.30|699.60|246.50|979.70|0.00|559.30|559.30|0.00|219.00|0.00|1199.60|1199.20|0.00|1023.80|0.00|1272.90|1271.90|0.00|987.90|0.00|1669.50|1669.30|0.00|1355.70|0.00|1836.30|1836.30|0.00|1395.10|0.00|1849.50|1845.90|0.00|1341.40|0.00|1616.30|1615.30|0.00|1384.80|0.00|2161.40|2160.60|0.00|1999.20|24.90
Shipping Corpn. Of India Ltd.|50119|101154.60|103735.10|39165.30|35396.20|1225.20||102444.85|4129.90|||45068.10|52.50|40351.80|34678.30|2075.60||117232.85|6842.10||28.80|73691.80|528.90|11597.70|10505.40|157.90|8096.40|69.20|8506.80|7869.70|101.10|6686.70|0.00|11559.80|10142.80|400.40|8346.90|0.00|11287.40|10340.00|0.00|9021.10|0.00|10805.60|8681.90|326.30|7959.10|0.00|10018.90|8858.60|0.00|7957.70|0.00|9458.00|8688.80|0.00|7634.90|0.00|9958.70|9152.70|98.10|8190.90|0.00|11774.40|10568.30|0.00|9287.50|0.00|11263.50|10619.10|5.10|8467.50|0.00|12846.00|11846.50|278.80|10097.20|0.00|12069.60|11131.30|50.80|10215.30|0.00|10995.90|8069.50|65.80|8988.30|390.80|10005.00|8827.90|502.70|8805.80|0.00|9092.60|8449.40|48.40|8755.60|0.00|9822.40|8454.30|867.80|8948.00|99.30|10067.20|8894.20|571.80|8708.70|0.00|10077.20|9496.20|154.90|8162.30|0.00|10682.10|8946.20|1280.00|8175.80|0.00|10193.10|9122.80|574.90|8962.50|0.00|9341.80|8765.70|7.10|9403.50|0.00
Shree Renuka Sugars Ltd.|10721|36775.70|57113.80|57207.70|55268.90|3.10|0.60|46944.75|13065.80|22.40|11.80|15710.30||64716.90|67757.70|0.20|6.20|75440.60|-6758.10|4.90|43.80|26830.40|47.00|1487.00|1465.00|0.00|2500.00|0.00|2462.00|2460.00|0.00|2233.00|0.00|2403.00|2390.00|8.00|1086.00|7.00|1230.00|1227.00|0.00|1165.00|0.00|2457.00|2453.00|0.00|2756.00|0.00|2185.00|1941.00|0.00|1997.00|0.00|1703.00|1703.00|0.00|1090.00|0.00|2096.00|1914.00|182.00|2824.00|0.00|4757.00|4757.00|0.00|6195.00|0.00|6101.00|6101.00|0.00|5420.00|0.00|5481.00|5481.00|0.00|3045.00|0.00|3394.00|3383.00|0.00|5557.00|0.00|3265.00|3241.00|0.00|6271.00|0.00|7248.00|7155.00|0.00|7086.00|0.00|8563.00|8563.00|0.00|6003.00|0.00|12797.00|12530.00|0.00|12218.00|0.00|16017.00|15570.00|0.00|18621.00|0.00|12357.00|12186.00|62.00|13264.00|0.00|14573.00|14393.00|136.00|9802.00|0.00|11115.00|11014.00|0.00|10776.00|0.00|12489.00|12489.00|0.00|15577.00|0.00
Shriram Transport Finance Co. Ltd.|64920|259509.20|283967.40|45013.90|36282.70|6.20||271738.30|8049.30||44.40|464.50|7.00|54018.50|41719.70||3.70|310948.15|-3982.60||132.90|364.00|4.50|2539.40|2491.70|0.00|2162.50|0.00|2751.00|2708.90|0.00|2340.70|0.00|3340.80|3264.60|0.00|2880.70|0.00|3692.10|3668.90|0.00|3142.30|0.00|4271.60|4221.40|0.00|3788.00|0.00|4804.10|4718.40|0.00|4054.60|0.00|5695.40|5603.20|0.00|4736.10|0.00|6608.00|6382.60|0.00|5537.00|0.00|7794.30|7681.90|0.00|6675.70|0.00|8360.00|8220.00|0.00|6920.00|0.00|9111.80|9016.30|0.00|7455.70|0.00|9912.30|9785.10|0.00|8419.20|0.00|9869.20|9779.20|0.00|8330.60|0.00|10297.70|10150.90|0.00|8653.50|0.00|10710.70|10639.50|0.00|8636.20|0.00|11668.50|11545.40|0.00|9300.40|0.00|12282.00|12023.60|0.00|9637.80|0.00|12869.30|12335.10|0.00|9979.90|0.00|13375.40|13004.00|0.00|10385.80|0.00|13907.50|13559.80|0.00|10893.90|0.00|13835.10|13833.60||10428.90|
Siemens Ltd.|28199|97744.30|114125.80|97182.80|94333.60|267.30||105922.30|10011.80|164.00|97.90|7115.10|56.40|125350.00|117719.00|165.00|0.00|120152.25|107.00|124.00|154.00|11291.00|243.00|11831.70|11149.80|0.00|10863.40|0.00|10664.60|10522.70|0.00|10441.20|0.00|15749.40|14919.80|0.00|14043.50|0.00|16608.70|16269.00|0.00|17059.30|0.00|21513.50|21291.80|0.00|19633.40|0.00|18319.30|17822.70|259.30|19257.80|0.00|23038.50|22054.70|524.20|20132.70|0.00|20586.70|19194.80|1245.80|16965.10|0.00|21614.40|21546.20|0.00|21638.40|0.00|18331.50|18204.50|0.00|17975.80|0.00|24813.50|24636.20|0.00|22822.40|0.00|18796.20|16398.70|0.00|16875.60|0.00|23954.30|23829.60|0.00|20899.90|0.00|21479.20|19176.60|0.00|19104.90|0.00|25266.70|25180.00|0.00|23263.50|0.00|19181.00|19023.00|0.00|19116.90|0.00|22378.00|22260.80|0.00|21454.20|0.00|22644.60|22464.00|0.00|21128.60|0.00|30467.30|30252.90|0.00|26416.60|0.00|26061.80|25803.90|0.00|24858.90|0.00|31500.30|31207.80|0.00|28464.40|0.00
Sintex Industries Ltd.|22201|42829.70|47368.50|22004.70|19128.00|4.40||45099.10|-2462.50|||13365.90|36.40|27342.20|23713.00|1.40||52348.95|8061.50|||17885.50|26.20|3355.50|3180.40|15.30|2843.90|0.30|2303.70|2238.40|0.00|2220.30|0.20|2597.70|2542.90|0.00|2384.90|0.00|2814.50|2747.50|0.00|2590.50|0.00|3728.60|3648.80|0.00|3340.10|0.00|3121.10|2999.90|0.00|2989.60|0.00|3286.10|3204.00|0.00|2897.30|0.00|3946.60|3889.50|0.00|3408.50|0.00|6648.80|6480.70|0.00|5737.30|0.00|4365.40|4117.10|0.00|4159.60|0.00|4635.80|4407.80|0.00|4224.10|0.00|5342.60|5087.60|0.00|4532.90|0.00|5437.40|5298.70|0.00|4396.50|0.00|3917.70|3548.40|0.00|3551.40|0.00|4209.30|4150.80|0.00|3753.70|0.00|5466.90|5206.00|0.00|4919.60|0.00|7480.70|7246.30|0.00|5973.40|0.00|5411.30|5197.90|0.00|4889.60|0.00|5245.90|4961.90|0.00|4657.70|0.00|6741.90|6592.40|0.00|5840.20|0.00|9562.60|9436.20|0.00|7945.00|0.00
Sobha Ltd.|41001|35852.00|37775.40|11232.40|9560.40|3.90||36813.70|3184.30||123.10|1429.20|5.50|13858.40|11556.80|3.10||37912.90|4089.60||228.50|1372.70|6.30|1965.00|1956.00||1967.00||2057.00|2054.00||2175.00||3262.00|3261.00||2590.00||2985.00|2976.00||3217.00||3589.00|3574.00||3342.00||2693.00|2678.00||2548.00||3330.00|3254.00||4608.00||3560.00|3553.00||4033.00||4765.00|4741.00||4937.00||3488.00|3481.00||3497.00||2904.00|2817.00||2754.00||1876.00|1836.00||2612.00||1636.00|1613.00||2641.00||1809.00|1786.00|19.00|1915.00||2298.00|2253.00|35.00|2031.00||3150.00|3093.00|48.00|2170.00||3932.00|3940.00|-98.00|3400.00||3190.00|3156.00||3504.00||4278.00|4222.00||2924.00||3614.00|3597.00||2904.00||3252.00|3210.00||2711.00|
State Bank Of India|64191|9650429.60|10539566.10|869685.10|778024.60||104.60|10094997.85|-131886.50||2240.40|41177.20||982505.40|899860.20||185.10|11393252.10|170870.80||2578.80|44319.60||111861.00|85090.80||103328.10||95667.90|88572.00||87682.20||102373.10|87996.20||90528.20||112683.80|94463.60|0.00|102033.20|0.00|129351.10|105177.30||114419.20||122290.90|110905.00|0.00|108032.80|0.00|136582.20|116162.80|0.00|120468.00|0.00|153640.00|126668.20|0.00|135553.60|0.00|163939.30|135767.30||145106.80||162030.70|137992.00||145622.80||179096.40|155665.00|0.00|156499.20|0.00|203059.00|170803.40|0.00|178274.80|0.00|220606.10|173423.90||193183.00||210415.10|174727.60||187111.40||213010.40|177758.80||188110.00||211454.00|177796.90||186663.50||224741.20|179655.90||206075.20||221420.80|184521.20||192278.80||238133.00|198080.90||213119.30||247267.30|214127.90||218986.70||265368.40|217213.50||265159.60|
Steel Authority Of India Ltd.|24105|556566.40|697028.90|483876.40|404758.20|299.10||626797.65|45983.20|1029.40||135839.70|399.30|493661.00|459330.50|198.80||735213.05|19599.10|1270.60||150585.10|13694.40|91569.00|89796.20|15.90|66559.50|0.00|75677.00|74164.30|0.00|70766.60|0.00|87989.50|85418.00|310.90|71193.20|0.00|87601.60|85370.70|0.00|75163.50|2.40|106264.50|103850.80|26.20|82270.50|0.00|83464.00|80394.70|0.00|76661.00|0.00|93765.60|90723.00|0.00|76210.70|0.00|98476.50|95332.90|0.00|84655.80|4.50|141733.50|134796.10|3164.00|107920.30|0.00|112282.40|108356.90|0.00|95773.60|0.00|125194.20|120661.80|308.40|116520.00|0.00|93632.50|87927.20|154.90|105122.90|0.00|125480.00|119860.00|253.30|96784.60|0.00|97035.10|91634.10|0.00|82809.90|0.00|106031.60|100353.60|315.70|85431.60|0.00|102854.70|98786.80|0.00|88219.20|0.00|127163.50|122297.60|436.60|97470.40|0.00|95195.20|91333.20|0.00|100217.20|0.00|112844.40|107474.40|91.00|99079.10|0.00|115839.20|112796.80|0.00|104401.90|0.00|126002.20|121469.20|56.70|110662.10|0.00
Sterlite Industries (India) Ltd. [Merged]|24201|198605.10|297336.60|150906.00|146062.60||2740.00|247803.75|-1280.50|||15436.20|133.10|179982.80|168745.70||13.80|314852.70|3046.70|||14500.10|114.50|25519.80|25154.00|0.00|22941.40|0.00|24037.40|23748.10|0.00|27737.00|0.00|33305.60|33091.10|0.00|31363.50|1336.70|32198.60|31928.40|0.00|28226.40|0.00|30731.00|29450.90|0.00|28694.00|37.30|31658.50|31150.00|0.00|32865.00|0.00|36965.40|35429.00|0.00|31049.40|0.00|27946.30|26365.70|0.00|25743.20|0.00|36173.50|33981.10|0.00|34877.80|527.90|31426.00|29661.70|0.00|27868.00|0.00|39404.00|37579.50|0.00|34307.10|0.00|28082.20|25942.70|301.00|21816.90|145.40|25946.50|23316.80|798.50|25337.00|0.00|25594.10|23667.30|0.00|27728.50|0.00|39002.20|36177.10|0.00|37739.10|0.00|40603.10|36123.00|403.30|41360.70|2735.30|41288.90|35277.60|0.00|34742.90|0.00|37386.40|31894.50|0.00|32811.20|0.00|34194.20|29057.00|0.00|34800.20|0.00|48494.40|43834.60|0.00|46282.30|0.00|50874.90|48302.90|0.00|45819.10|0.00
Sterlite Technologies Ltd.|27320|17529.60|21015.20|25183.80|22981.10|103.20||19272.40|3468.50|59.80||6264.30|96.60|23326.80|22230.80||2.80|23354.90|707.90|45.70||7061.70|80.10|1498.40|1318.70|32.10|1159.10|0.00|1005.50|971.70|3.80|936.70|0.00|3828.30|3796.50|27.00|3324.20|0.00|3157.90|3139.50|18.30|3442.20|0.00|3891.40|3862.70|11.30|3162.40|0.00|2439.00|2395.60|18.50|2693.50|7.70|4066.10|4005.80|42.90|3820.80|0.00|5084.20|5020.30|42.10|4917.20|0.00|5511.50|5436.20|43.10|4686.60|0.00|4083.90|4041.80|11.40|4649.30|1.60|6668.20|6655.60|0.10|6143.90|0.00|6463.60|6419.90|41.40|5579.10|14.70|5884.20|5775.00|93.00|5276.30|0.00|4387.90|4361.80|0.00|4082.10|12.50|4683.00|4658.30|2.10|4285.10|0.00|8801.80|8672.70|101.10|8386.80|17.50|6694.70|6623.60|20.00|5610.70|79.30|4978.40|4917.60|6.10|5263.80|0.00|5127.10|5094.40|0.00|4870.10|0.00|5862.70|5791.10|0.00|5097.10|0.00|6823.00|6822.30|0.00|6464.20|0.00
Sun Pharmaceutical Inds. Ltd.|21002|62941.40|66093.30|26813.20|18135.80|11.10|30.80|64517.35|5976.00|1440.80||7405.20|127.90|33752.50|19894.60|15.10|3.90|71152.40|11865.00|1572.80||7943.90|112.10|4458.70|3059.60|0.00|3449.40|0.00|5532.60|3953.20|0.00|4011.50|0.00|5930.60|4074.00|0.00|4212.30|0.00|5985.70|4037.80|0.00|4458.90|0.00|6233.20|4202.20|0.00|4996.80|0.00|7309.20|6733.70|0.00|5104.80|0.00|7575.60|7292.30|0.00|5685.40|0.00|9440.70|9162.40|0.00|6017.50|0.00|8145.50|5662.40|0.00|5696.80|0.00|9142.80|8821.10|0.00|6162.30|0.00|9703.50|9104.60|0.00|6646.40|0.00|8807.90|8439.60|0.00|6568.00|0.00|11968.80|11433.00|0.00|7831.20|0.00|5156.60|3980.00|0.00|3819.90|0.00|6950.00|4743.90|0.00|5143.20|0.00|7270.90|4793.90|0.00|4185.50|0.00|7252.90|4653.20|0.00|4804.40|0.00|7962.30|4867.80|0.00|4717.30|0.00|8393.30|7962.20|0.00|4825.80|0.00|7986.70|7495.80|0.00|4329.00|0.00|8677.20|8131.00|0.00|5289.50|0.00
Sun T V Network Ltd.|63910|20447.10|25162.70|14375.20|8701.40|3.50||22804.90|7622.00||76.80|6849.80|1777.40|19705.00|11982.80|0.00|27.50|27008.00|10693.70||91.20|10849.00|2908.90|959.00|786.00|102.50|669.70|0.00|990.40|894.20|0.00|568.10|0.00|1059.00|944.70|0.00|579.40|0.00|1250.20|1140.20|0.00|652.50|0.00|3964.40|3790.40|0.00|2775.80|0.00|2172.50|2023.40|0.00|1241.80|0.00|2117.60|1944.50|0.00|1316.00|0.00|2319.90|2177.80|0.00|1296.90|0.00|2649.90|2464.90|0.00|1735.40|0.00|2399.50|2235.70|0.00|1374.10|0.00|2750.30|2378.80|0.00|1667.20|0.00|2852.70|2708.30|0.00|1730.30|0.00|2912.70|2759.20|0.00|1772.50|0.00|3018.80|2876.50|0.00|1820.80|0.00|3318.60|3203.90|0.00|2013.00|0.00|4034.30|3950.80|0.00|2514.90|0.00|4003.50|3918.90|0.00|2352.70|0.00|4517.20|4404.40|0.00|2807.70|0.00|4340.30|4247.80|0.00|2665.90|0.00|6070.60|5979.90|0.00|3815.70|0.00|4776.90|4605.00|0.00|2693.50|0.00
Suzlon Energy Ltd.|28199|179140.60|172920.20|40123.20|51714.40|2487.60|14.10|176030.40|21070.60|215.80|332.90|9171.60|1174.20|47183.60|51277.20||402.10|173925.50|7248.50|254.10|160.80|8631.70|1169.70|15796.00|15487.10|0.00|11709.70|0.00|9467.00|9337.70|0.00|8510.40|0.00|12981.50|12854.50|0.00|10904.30|0.00|11260.70|11056.70|0.00|10330.10|0.00|21013.50|20554.80|38.00|15052.50|0.00|8724.70|8391.90|0.00|9282.80|227.70|17449.00|16945.70|0.00|14424.70|426.90|16945.40|16609.50|0.00|13521.60|187.40|27868.30|27464.00|0.00|22642.60|1824.10|14962.80|14732.40|0.00|15237.50|264.60|22646.60|22344.70|0.00|23418.60|477.70|15993.20|15042.90|516.10|19527.20|2331.30|24859.10|20399.40|786.90|25654.80|2035.00|6454.30|3149.50|2393.70|7417.70|0.00|7459.60|6272.90|98.60|8325.70|0.00|8105.00|7540.10|0.00|10058.70|0.00|18946.30|18126.80|0.00|26754.30|5254.40|5712.20|5045.00|0.00|9987.50|372.80|11760.20|10695.10|0.00|12807.70|0.00|12922.40|12213.60|0.00|13533.40|0.00|18220.50|15710.20|748.30|16380.20|0.00
